20211217	14:12:49 	d53deaf4-ad8d-4e20-98ae-50597fbe6486	GET	undefined	/new-page
20211217	14:12:49 	e64658fc-f8c0-4722-9cfc-24e650b8d88e	GET	undefined	/css/style.css
20211217	14:12:49 	791b432b-6095-4187-9001-649e86b76e98	GET	undefined	/img/img-test.png
20211217	14:12:49 	c995ddea-1008-4444-988f-df500adf18cb	GET	undefined	/new-page
20211217	14:12:49 	76d967a7-0ca1-42b4-8c45-f5d4f7fa8239	GET	undefined	/css/style.css
20211217	14:12:49 	95762446-2bae-4d31-b8cb-cb2768a959f8	GET	undefined	/img/img-test.png
20211217	14:12:49 	b53a4966-a8ec-4443-8845-10e8a26628ff	GET	undefined	/new-page
20211217	14:12:49 	71d67b5e-7d6a-4b36-ba2e-95f3aa6daf2f	GET	undefined	/css/style.css
20211217	14:12:49 	50a79aa0-dd5b-45e2-815c-da88db3a2e58	GET	undefined	/img/img-test.png
20211217	14:12:53 	d995f98c-1ebb-4e63-b9a4-76e110f8bbd0	GET	undefined	/index
20211217	14:12:53 	d61f3513-8eea-4e04-b381-cd8aa45e23c1	GET	undefined	/css/style.css
20211217	14:24:45 	da137b32-17bc-4bb2-8253-bd407e004bdb	GET	undefined	/employees
20211217	14:24:45 	0499df04-b9c9-43d4-a375-8b2422ef3b87	GET	undefined	/css/style.css
20211217	14:24:54 	eaf06190-e7da-4189-ab3e-4b9c4f5604bb	GET	undefined	/employees
20211217	14:28:27 	4ae028cf-b5d2-4545-8198-d742f7f2c998	GET	undefined	/employees
20211217	14:28:35 	435769ee-eb7c-403c-865e-97c1ed189d74	GET	undefined	/employees
20211217	14:28:37 	c4e7c95f-b4ba-42c4-ad75-718c5c4e08bd	GET	undefined	/employees
20211217	14:29:56 	cdcf7205-0617-4c5a-82d4-7d5fc3ce01e2	POST	undefined	/employees
20211217	14:30:11 	6d308d1d-0ab4-401e-ad15-502ca59b84aa	POST	undefined	/employees
20211217	14:30:41 	5b24539a-db08-49ac-8fe1-44eb1c8acc10	POST	undefined	/employees
20211217	14:31:03 	ae254be8-bdff-412d-b617-e8cf920b02b2	GET	undefined	/employees
